,BRAM_18K,BRAM_efficiency,LUT,URAM,URAM_efficiency,DSP,estimated_latency_ns


CNN_case1_3bit_auto,51.0,,15149.0,0.0,,0.0,127720.0
CNN_case2_3bit_auto,197.0,,29418.0,0.0,,0.0,2566940.0
CNN_case5_3bit_auto,8549.0,,249235.0,0.0,,0.0,8256080.0

CNN_case1_3bit_0,10.0,,3440.0,0.0,,0.0,4262760.0
CNN_case1_3bit_1,21.0,,6449.0,0.0,,0.0,4185340.0
CNN_case1_3bit_2,403.0,,98913.0,0.0,,0.0,1801850.0
CNN_case1_3bit_3,1166.0,,283725.0,0.0,,0.0,55240.0
CNN_case1_3bit_4,1485.0,,360069.0,0.0,,0.0,16710.0
CNN_case1_3bit_5,1486.0,,360346.0,0.0,,0.0,16570.0

CNN_case1_6bit_0,16.0,,3929.0,0.0,,0.0,4262760.0
CNN_case1_6bit_1,39.0,,13657.0,0.0,,0.0,4185340.0
CNN_case1_6bit_2,804.0,,319696.0,0.0,,0.0,1801850.0
CNN_case1_6bit_3,1563.0,,627507.0,0.0,,0.0,55420.0
CNN_case1_6bit_4,2201.0,,881317.0,0.0,,0.0,16890.0
CNN_case1_6bit_5,2203.0,,882241.0,0.0,,0.0,16750.0

CNN_case1_8bit_0,16.0,,4379.0,0.0,,0.0,4262760.0
CNN_case1_8bit_1,47.0,,22399.0,0.0,,0.0,4185340.0
CNN_case1_8bit_2,556.0,,308292.0,0.0,,0.0,1802340.0
CNN_case1_8bit_3,1230.0,,691746.0,0.0,,0.0,56090.0
CNN_case1_8bit_4,2082.0,,1165146.0,0.0,,0.0,17560.0
CNN_case1_8bit_5,2085.0,,1166871.0,0.0,,0.0,17420.0

CNN_case2_3bit_0,170.0,,5075.0,0.0,,0.0,171917100.0
CNN_case2_3bit_1,193.0,,11254.0,0.0,,0.0,164903920.0
CNN_case2_3bit_2,956.0,,195766.0,0.0,,0.0,81390960.0
CNN_case2_3bit_3,1706.0,,382260.0,0.0,,0.0,6284440.0
CNN_case2_3bit_4,2330.0,,567731.0,0.0,,0.0,385570.0
CNN_case2_3bit_5,2436.0,,593253.0,0.0,,0.0,372690.0
CNN_case2_3bit_6,2436.0,,593431.0,0.0,,0.0,372600.0

CNN_case2_6bit_0,336.0,,6555.0,0.0,,0.0,171917100.0
CNN_case2_6bit_1,383.0,,26353.0,0.0,,0.0,164903920.0
CNN_case2_6bit_2,1142.0,,333564.0,0.0,,0.0,81399780.0
CNN_case2_6bit_3,1874.0,,644447.0,0.0,,0.0,6301260.0
CNN_case2_6bit_4,2354.0,,952523.0,0.0,,0.0,403030.0
CNN_case2_6bit_5,2567.0,,1037199.0,0.0,,0.0,390150.0
CNN_case2_6bit_6,2568.0,,1037793.0,0.0,,0.0,390060.0

CNN_case2_8bit_0,336.0,,7692.0,0.0,,0.0,171917100.0
CNN_case2_8bit_1,399.0,,44227.0,0.0,,0.0,164903920.0
CNN_case2_8bit_2,1073.0,,426881.0,0.0,,0.0,81408600.0
CNN_case2_8bit_3,1720.0,,814385.0,0.0,,0.0,6318080.0
CNN_case2_8bit_4,2115.0,,1196747.0,0.0,,0.0,420490.0
CNN_case2_8bit_5,2399.0,,1354582.0,0.0,,0.0,407610.0
CNN_case2_8bit_6,2401.0,,1355691.0,0.0,,0.0,407520.0

CNN_case4_3bit_0,131.0,,8382.0,0.0,,0.0,57714360.0
CNN_case4_3bit_1,596.0,,120943.0,0.0,,0.0,51661560.0
CNN_case4_3bit_2,2508.0,,580507.0,0.0,,0.0,27631760.0
CNN_case4_3bit_3,4789.0,,1133879.0,0.0,,0.0,3995030.0
CNN_case4_3bit_4,5572.0,,1348389.0,0.0,,0.0,671840.0
CNN_case4_3bit_5,6357.0,,1540541.0,0.0,,0.0,94910.0
CNN_case4_3bit_6,6365.0,,1542501.0,0.0,,0.0,93920.0

CNN_case4_6bit_0,255.0,,9828.0,0.0,,0.0,57714360.0
CNN_case4_6bit_1,1186.0,,382431.0,0.0,,0.0,51661560.0
CNN_case4_6bit_2,3477.0,,1299556.0,0.0,,0.0,27633760.0
CNN_case4_6bit_3,5736.0,,2221285.0,0.0,,0.0,3999530.0
CNN_case4_6bit_4,6438.0,,2577035.0,0.0,,0.0,676660.0
CNN_case4_6bit_5,7209.0,,2896361.0,0.0,,0.0,99790.0
CNN_case4_6bit_6,7225.0,,2902895.0,0.0,,0.0,98800.0

CNN_case4_8bit_0,255.0,,11130.0,0.0,,0.0,57714360.0
CNN_case4_8bit_1,1498.0,,705054.0,0.0,,0.0,51661560.0
CNN_case4_8bit_2,3363.0,,1751807.0,0.0,,0.0,27636760.0
CNN_case4_8bit_3,5367.0,,2899805.0,0.0,,0.0,4005030.0
CNN_case4_8bit_4,5973.0,,3343628.0,0.0,,0.0,682480.0
CNN_case4_8bit_5,6798.0,,3819906.0,0.0,,0.0,105640.0
CNN_case4_8bit_6,6820.0,,3832103.0,0.0,,0.0,104650.0
CNN_case3_3bit_0,2401.0,,1355691.0,0.0,,0.0,407520.0
